State,County,Votes_Left,Votes_Right,Total_shootings,Normalized_Shootings_rate
Illinois,Christian County,11505,4286,1,0.006
Illinois,Clark County,6215,1990,0,0.000
Illinois,Clay County,5626,1129,0,0.000
Illinois,Clinton County,14264,4459,0,0.000
Illinois,Coles County,13981,7997,0,0.000
Illinois,Cook County,472127,1327394,114,0.006
Illinois,Crawford County,7025,2198,0,0.000
Illinois,Cumberland County,4595,1141,0,0.000
Illinois,DeKalb County,21818,24484,1,0.002
Illinois,De Witt County,5623,2171,0,0.000
Illinois,Douglas County,6221,2327,1,0.011
Illinois,DuPage County,187957,269638,2,0.000
Illinois,Edgar County,6169,1869,0,0.000
Illinois,Edwards County,2833,488,0,0.000
Illinois,Effingham County,14983,3700,0,0.000
Illinois,Fayette County,8025,1815,0,0.000
Illinois,Ford County,4956,1691,0,0.000
Illinois,Franklin County,13514,4690,2,0.010
Illinois,Fulton County,9798,6371,0,0.000
Illinois,Gallatin County,2019,621,0,0.000
Illinois,Greene County,4767,1349,0,0.000
Illinois,Grundy County,16372,9445,0,0.000
Illinois,Hamilton County,3429,821,0,0.000
Illinois,Hancock County,5309,1114,0,0.000
Illinois,Hardin County,0,0,0,0.000
Illinois,Henderson County,2391,1186,0,0.000
Illinois,Henry County,15266,9762,1,0.004
Illinois,Iroquois County,10858,2895,0,0.000
Illinois,Jackson County,7066,3749,0,0.000
Illinois,Jasper County,4492,1006,0,0.000
Illinois,Jefferson County,12461,4597,0,0.000
Illinois,Jersey County,8699,2956,1,0.008
Illinois,Jo Daviess County,7161,5097,1,0.007
Illinois,Johnson County,5052,1280,0,0.000
Illinois,Kane County,96196,129116,7,0.003
Illinois,Kankakee County,28410,20112,0,0.000
Illinois,Kendall County,28515,31394,0,0.000
Illinois,Knox County,11818,10421,0,0.000
Illinois,Lake County,105416,144674,13,0.005
Illinois,LaSalle County,29482,21491,0,0.000
Illinois,Lawrence County,4849,1414,0,0.000
Illinois,Lee County,9584,6368,0,0.000
Illinois,Livingston County,12134,4568,0,0.000
Illinois,Logan County,9042,3769,1,0.007
Illinois,McDonough County,7009,4973,0,0.000
Illinois,McHenry County,79396,73610,1,0.001
Illinois,McLean County,40365,43719,1,0.001
Illinois,Macon County,28373,19633,0,0.000
Illinois,Macoupin County,16058,7313,0,0.000
Illinois,Madison County,75727,56845,5,0.003
Illinois,Marion County,12540,4396,0,0.000
Illinois,Marshall County,4196,2004,0,0.000
Illinois,Mason County,4645,1984,0,0.000
Illinois,Massac County,4989,1719,2,0.027
Illinois,Menard County,4722,2003,0,0.000
Illinois,Mercer County,5328,3212,0,0.000
Illinois,Monroe County,14046,6489,1,0.004
Illinois,Montgomery County,9504,3889,1,0.007
Illinois,Morgan County,9903,5020,0,0.000
Illinois,Moultrie County,4938,1645,0,0.000
Illinois,Ogle County,16092,9300,0,0.000
Illinois,Peoria County,37612,42600,3,0.003
Illinois,Perry County,7305,2609,0,0.000
Illinois,Piatt County,6219,3302,0,0.000
Illinois,Pike County,6235,1458,0,0.000
Illinois,Pope County,1720,432,1,0.042
Illinois,Pulaski County,1699,891,0,0.000
Illinois,Putnam County,1978,1309,0,0.000
Illinois,Randolph County,11065,3590,0,0.000
Illinois,Richland County,7988,1355,0,0.000
Illinois,Rock Island County,28585,36647,2,0.003
Illinois,St. Clair County,56000,66698,4,0.003
Illinois,Saline County,8096,2786,0,0.000
Illinois,Sangamon County,53303,48756,1,0.001
Illinois,Schuyler County,2767,1064,0,0.000
Illinois,Scott County,2104,569,1,0.034
Illinois,Shelby County,9396,2488,0,0.000
Illinois,Stark County,2000,814,0,0.000
Illinois,Stephenson County,12253,8756,0,0.000
Illinois,Tazewell County,42194,24486,2,0.003
Illinois,Union County,6157,2575,0,0.000
Illinois,Vermilion County,20710,10313,3,0.009
Illinois,Wabash County,4228,1248,0,0.000
Illinois,Warren County,4671,3087,0,0.000
Illinois,Washington County,6110,1639,0,0.000
Illinois,Wayne County,7172,1185,0,0.000
Illinois,White County,5788,1517,0,0.000
Illinois,Whiteside County,14472,12195,2,0.007
Illinois,Will County,149695,174226,3,0.001
Illinois,Williamson County,22681,10107,2,0.006
Illinois,Winnebago County,60390,58721,4,0.003
Illinois,Woodford County,11764,4664,0,0.000
Illinois,Cook Suburbs,314989,566905,0,0.000
Indiana,Adams County,10685,3236,0,0.000
Indiana,Allen County,91885,72825,9,0.005
Indiana,Bartholomew County,22409,12934,1,0.003
Indiana,Benton County,3007,1009,0,0.000
Indiana,Blackford County,3838,1376,0,0.000
Indiana,Boone County,22351,15244,0,0.000
Indiana,Brown County,5725,2996,1,0.010
Indiana,Carroll County,7086,2224,0,0.000
Indiana,Cass County,10551,4301,1,0.006
Indiana,Clark County,33656,23088,3,0.005
Indiana,Clay County,9498,2549,1,0.008
Indiana,Clinton County,9334,3361,0,0.000
Indiana,Crawford County,3499,1369,1,0.019
Indiana,Daviess County,9576,2169,1,0.008
Indiana,Dearborn County,19441,5433,1,0.004
Indiana,Decatur County,9570,2436,0,0.000
Indiana,DeKalb County,14237,4966,0,0.000
Indiana,Delaware County,26724,20328,6,0.012
Indiana,Dubois County,15032,6292,0,0.000
Indiana,Elkhart County,46311,25413,7,0.009
Indiana,Fayette County,7755,2237,0,0.000
Indiana,Floyd County,23385,17507,1,0.002
Indiana,Fountain County,6151,1627,0,0.000
Indiana,Franklin County,9691,2137,1,0.008
Indiana,Fulton County,6667,2274,0,0.000
Indiana,Gibson County,11817,4027,0,0.000
Indiana,Grant County,18543,8015,1,0.003
Indiana,Greene County,11103,3389,0,0.000
Indiana,Hamilton County,101563,88367,2,0.001
Indiana,Hancock County,28816,12821,1,0.002
Indiana,Harrison County,14542,5334,1,0.005
Indiana,Hendricks County,53688,32453,3,0.003
Indiana,Henry County,15043,5543,4,0.018
Indiana,Howard County,26400,13270,1,0.002
Indiana,Huntington County,13147,4254,1,0.005
Indiana,Jackson County,14555,4302,1,0.005
Indiana,Jasper County,11383,3798,0,0.000
Indiana,Jay County,6361,1926,1,0.011
Indiana,Jefferson County,9659,4732,1,0.006
Indiana,Jennings County,9488,2521,0,0.000
Indiana,Johnson County,51209,24729,3,0.004
Indiana,Knox County,11654,4067,2,0.012
Indiana,Kosciusko County,26476,8350,0,0.000
Indiana,LaGrange County,8110,2355,0,0.000
