,state,county,candidate,party,voteStates,lead
29494,Colorado,Ouray County,Don Blankenship,CST,5,Joe Biden
29495,Colorado,Ouray County,Gloria La Riva,PSL,3,Joe Biden
29496,Colorado,Ouray County,Bill Hammons,UTY,2,Joe Biden
29497,Colorado,Ouray County,Brian Carroll,ASP,1,Joe Biden
29498,Colorado,Ouray County,Phil Collins,PRO,1,Joe Biden
29499,Colorado,Ouray County,Joe McHugh,UNA,1,Joe Biden
29500,Colorado,Ouray County,Mark Charles,IND,0,Joe Biden
29501,Colorado,Ouray County,Rocky De La Fuente,ALI,0,Joe Biden
29502,Colorado,Ouray County,Blake Huber,APV,0,Joe Biden
29503,Colorado,Ouray County,Dario Hunter,PRG,0,Joe Biden
29504,Colorado,Ouray County,Princess Jacob-Fambro,UNA,0,Joe Biden
29505,Colorado,Ouray County,Alyson Kennedy,SWP,0,Joe Biden
29506,Colorado,Ouray County,Joseph Kishore,SEP,0,Joe Biden
29507,Colorado,Ouray County,Kyle Kopitke,IAP,0,Joe Biden
29508,Colorado,Ouray County,Brock Pierce,IND,0,Joe Biden
29509,Colorado,Ouray County,Jordan Scott,UNA,0,Joe Biden
29510,Colorado,Park County,Donald Trump,REP,6864,Joe Biden
29511,Colorado,Park County,Joe Biden,DEM,4786,Joe Biden
29512,Colorado,Park County,Jo Jorgensen,LIB,229,Joe Biden
29513,Colorado,Park County,Howie Hawkins,GRN,54,Joe Biden
29514,Colorado,Park County,Don Blankenship,CST,29,Joe Biden
29515,Colorado,Park County,Kanye West,IND,29,Joe Biden
29516,Colorado,Park County,Mark Charles,IND,12,Joe Biden
29517,Colorado,Park County,Bill Hammons,UTY,10,Joe Biden
29518,Colorado,Park County,Brian Carroll,ASP,4,Joe Biden
29519,Colorado,Park County,Phil Collins,PRO,4,Joe Biden
29520,Colorado,Park County,Joe McHugh,UNA,3,Joe Biden
29521,Colorado,Park County,Kyle Kopitke,IAP,2,Joe Biden
29522,Colorado,Park County,Jordan Scott,UNA,2,Joe Biden
29523,Colorado,Park County,Princess Jacob-Fambro,UNA,1,Joe Biden
29524,Colorado,Park County,Joseph Kishore,SEP,1,Joe Biden
29525,Colorado,Park County,Gloria La Riva,PSL,1,Joe Biden
29526,Colorado,Park County,Brock Pierce,IND,1,Joe Biden
29527,Colorado,Park County,Rocky De La Fuente,ALI,0,Joe Biden
29528,Colorado,Park County,Blake Huber,APV,0,Joe Biden
29529,Colorado,Park County,Dario Hunter,PRG,0,Joe Biden
29530,Colorado,Park County,Alyson Kennedy,SWP,0,Joe Biden
29531,Colorado,Phillips County,Donald Trump,REP,1945,Joe Biden
29532,Colorado,Phillips County,Joe Biden,DEM,477,Joe Biden
29533,Colorado,Phillips County,Jo Jorgensen,LIB,24,Joe Biden
29534,Colorado,Phillips County,Howie Hawkins,GRN,5,Joe Biden
29535,Colorado,Phillips County,Kanye West,IND,4,Joe Biden
29536,Colorado,Phillips County,Don Blankenship,CST,3,Joe Biden
29537,Colorado,Phillips County,Brian Carroll,ASP,1,Joe Biden
29538,Colorado,Phillips County,Mark Charles,IND,1,Joe Biden
29539,Colorado,Phillips County,Bill Hammons,UTY,1,Joe Biden
29540,Colorado,Phillips County,Phil Collins,PRO,0,Joe Biden
29541,Colorado,Phillips County,Rocky De La Fuente,ALI,0,Joe Biden
29542,Colorado,Phillips County,Blake Huber,APV,0,Joe Biden
29543,Colorado,Phillips County,Dario Hunter,PRG,0,Joe Biden
29544,Colorado,Phillips County,Princess Jacob-Fambro,UNA,0,Joe Biden
29545,Colorado,Phillips County,Alyson Kennedy,SWP,0,Joe Biden
29546,Colorado,Phillips County,Joseph Kishore,SEP,0,Joe Biden
29547,Colorado,Phillips County,Kyle Kopitke,IAP,0,Joe Biden
29548,Colorado,Phillips County,Gloria La Riva,PSL,0,Joe Biden
29549,Colorado,Phillips County,Joe McHugh,UNA,0,Joe Biden
29550,Colorado,Phillips County,Brock Pierce,IND,0,Joe Biden
29551,Colorado,Phillips County,Jordan Scott,UNA,0,Joe Biden
29552,Colorado,Pitkin County,Joe Biden,DEM,8906,Joe Biden
29553,Colorado,Pitkin County,Donald Trump,REP,2739,Joe Biden
29554,Colorado,Pitkin County,Jo Jorgensen,LIB,92,Joe Biden
29555,Colorado,Pitkin County,Howie Hawkins,GRN,40,Joe Biden
29556,Colorado,Pitkin County,Kanye West,IND,22,Joe Biden
29557,Colorado,Pitkin County,Bill Hammons,UTY,10,Joe Biden
29558,Colorado,Pitkin County,Don Blankenship,CST,9,Joe Biden
29559,Colorado,Pitkin County,Mark Charles,IND,3,Joe Biden
29560,Colorado,Pitkin County,Kyle Kopitke,IAP,3,Joe Biden
29561,Colorado,Pitkin County,Brian Carroll,ASP,2,Joe Biden
29562,Colorado,Pitkin County,Rocky De La Fuente,ALI,1,Joe Biden
29563,Colorado,Pitkin County,Princess Jacob-Fambro,UNA,1,Joe Biden
29564,Colorado,Pitkin County,Alyson Kennedy,SWP,1,Joe Biden
29565,Colorado,Pitkin County,Phil Collins,PRO,0,Joe Biden
29566,Colorado,Pitkin County,Blake Huber,APV,0,Joe Biden
29567,Colorado,Pitkin County,Dario Hunter,PRG,0,Joe Biden
29568,Colorado,Pitkin County,Joseph Kishore,SEP,0,Joe Biden
29569,Colorado,Pitkin County,Gloria La Riva,PSL,0,Joe Biden
29570,Colorado,Pitkin County,Joe McHugh,UNA,0,Joe Biden
29571,Colorado,Pitkin County,Brock Pierce,IND,0,Joe Biden
29572,Colorado,Pitkin County,Jordan Scott,UNA,0,Joe Biden
29573,Colorado,Archuleta County,Donald Trump,REP,5126,Joe Biden
29574,Colorado,Archuleta County,Joe Biden,DEM,3693,Joe Biden
29575,Colorado,Archuleta County,Jo Jorgensen,LIB,114,Joe Biden
29576,Colorado,Archuleta County,Don Blankenship,CST,20,Joe Biden
29577,Colorado,Archuleta County,Kanye West,IND,20,Joe Biden
29578,Colorado,Archuleta County,Howie Hawkins,GRN,19,Joe Biden
29579,Colorado,Archuleta County,Bill Hammons,UTY,9,Joe Biden
29580,Colorado,Archuleta County,Brian Carroll,ASP,7,Joe Biden
29581,Colorado,Archuleta County,Mark Charles,IND,6,Joe Biden
29582,Colorado,Archuleta County,Brock Pierce,IND,5,Joe Biden
29583,Colorado,Archuleta County,Princess Jacob-Fambro,UNA,3,Joe Biden
29584,Colorado,Archuleta County,Kyle Kopitke,IAP,2,Joe Biden
29585,Colorado,Archuleta County,Gloria La Riva,PSL,2,Joe Biden
29586,Colorado,Archuleta County,Joe McHugh,UNA,2,Joe Biden
29587,Colorado,Archuleta County,Phil Collins,PRO,1,Joe Biden
29588,Colorado,Archuleta County,Blake Huber,APV,1,Joe Biden
29589,Colorado,Archuleta County,Rocky De La Fuente,ALI,0,Joe Biden
29590,Colorado,Archuleta County,Dario Hunter,PRG,0,Joe Biden
29591,Colorado,Archuleta County,Alyson Kennedy,SWP,0,Joe Biden
29592,Colorado,Archuleta County,Joseph Kishore,SEP,0,Joe Biden
29593,Colorado,Archuleta County,Jordan Scott,UNA,0,Joe Biden
29594,Colorado,Prowers County,Donald Trump,REP,3977,Joe Biden
29595,Colorado,Prowers County,Joe Biden,DEM,1438,Joe Biden
29596,Colorado,Prowers County,Jo Jorgensen,LIB,37,Joe Biden
29597,Colorado,Prowers County,Don Blankenship,CST,13,Joe Biden
29598,Colorado,Prowers County,Kanye West,IND,13,Joe Biden
29599,Colorado,Prowers County,Howie Hawkins,GRN,9,Joe Biden
29600,Colorado,Prowers County,Kyle Kopitke,IAP,4,Joe Biden
29601,Colorado,Prowers County,Brian Carroll,ASP,3,Joe Biden
29602,Colorado,Prowers County,Mark Charles,IND,3,Joe Biden
29603,Colorado,Prowers County,Bill Hammons,UTY,3,Joe Biden
29604,Colorado,Prowers County,Joe McHugh,UNA,2,Joe Biden
29605,Colorado,Prowers County,Jordan Scott,UNA,2,Joe Biden
29606,Colorado,Prowers County,Alyson Kennedy,SWP,1,Joe Biden
29607,Colorado,Prowers County,Joseph Kishore,SEP,1,Joe Biden
29608,Colorado,Prowers County,Gloria La Riva,PSL,1,Joe Biden
29609,Colorado,Prowers County,Phil Collins,PRO,0,Joe Biden
29610,Colorado,Prowers County,Rocky De La Fuente,ALI,0,Joe Biden
29611,Colorado,Prowers County,Blake Huber,APV,0,Joe Biden
29612,Colorado,Prowers County,Dario Hunter,PRG,0,Joe Biden
29613,Colorado,Prowers County,Princess Jacob-Fambro,UNA,0,Joe Biden
29614,Colorado,Prowers County,Brock Pierce,IND,0,Joe Biden
29615,Colorado,Pueblo County,Joe Biden,DEM,43070,Joe Biden
29616,Colorado,Pueblo County,Donald Trump,REP,41502,Joe Biden
29617,Colorado,Pueblo County,Jo Jorgensen,LIB,1143,Joe Biden
29618,Colorado,Pueblo County,Kanye West,IND,243,Joe Biden
29619,Colorado,Pueblo County,Howie Hawkins,GRN,199,Joe Biden
29620,Colorado,Pueblo County,Don Blankenship,CST,167,Joe Biden
29621,Colorado,Pueblo County,Bill Hammons,UTY,92,Joe Biden
29622,Colorado,Pueblo County,Mark Charles,IND,69,Joe Biden
29623,Colorado,Pueblo County,Rocky De La Fuente,ALI,37,Joe Biden
29624,Colorado,Pueblo County,Brian Carroll,ASP,35,Joe Biden
29625,Colorado,Pueblo County,Phil Collins,PRO,34,Joe Biden
29626,Colorado,Pueblo County,Gloria La Riva,PSL,32,Joe Biden
29627,Colorado,Pueblo County,Joe McHugh,UNA,24,Joe Biden
29628,Colorado,Pueblo County,Brock Pierce,IND,23,Joe Biden
29629,Colorado,Pueblo County,Kyle Kopitke,IAP,19,Joe Biden
29630,Colorado,Pueblo County,Princess Jacob-Fambro,UNA,17,Joe Biden
29631,Colorado,Pueblo County,Dario Hunter,PRG,15,Joe Biden
29632,Colorado,Pueblo County,Blake Huber,APV,12,Joe Biden
29633,Colorado,Pueblo County,Alyson Kennedy,SWP,11,Joe Biden
29634,Colorado,Pueblo County,Joseph Kishore,SEP,9,Joe Biden
29635,Colorado,Pueblo County,Jordan Scott,UNA,7,Joe Biden
29636,Colorado,Rio Blanco County,Donald Trump,REP,3047,Joe Biden
29637,Colorado,Rio Blanco County,Joe Biden,DEM,557,Joe Biden
29638,Colorado,Rio Blanco County,Jo Jorgensen,LIB,42,Joe Biden
29639,Colorado,Rio Blanco County,Kanye West,IND,10,Joe Biden
29640,Colorado,Rio Blanco County,Don Blankenship,CST,4,Joe Biden
29641,Colorado,Rio Blanco County,Mark Charles,IND,3,Joe Biden
29642,Colorado,Rio Blanco County,Bill Hammons,UTY,3,Joe Biden
29643,Colorado,Rio Blanco County,Howie Hawkins,GRN,3,Joe Biden
29644,Colorado,Rio Blanco County,Joe McHugh,UNA,2,Joe Biden
29645,Colorado,Rio Blanco County,Alyson Kennedy,SWP,1,Joe Biden
29646,Colorado,Rio Blanco County,Brian Carroll,ASP,0,Joe Biden
29647,Colorado,Rio Blanco County,Phil Collins,PRO,0,Joe Biden
29648,Colorado,Rio Blanco County,Rocky De La Fuente,ALI,0,Joe Biden
29649,Colorado,Rio Blanco County,Blake Huber,APV,0,Joe Biden
29650,Colorado,Rio Blanco County,Dario Hunter,PRG,0,Joe Biden
29651,Colorado,Rio Blanco County,Princess Jacob-Fambro,UNA,0,Joe Biden
29652,Colorado,Rio Blanco County,Joseph Kishore,SEP,0,Joe Biden
29653,Colorado,Rio Blanco County,Kyle Kopitke,IAP,0,Joe Biden
29654,Colorado,Rio Blanco County,Gloria La Riva,PSL,0,Joe Biden
29655,Colorado,Rio Blanco County,Brock Pierce,IND,0,Joe Biden
29656,Colorado,Rio Blanco County,Jordan Scott,UNA,0,Joe Biden
29657,Colorado,Rio Grande County,Donald Trump,REP,3645,Joe Biden
29658,Colorado,Rio Grande County,Joe Biden,DEM,2488,Joe Biden
29659,Colorado,Rio Grande County,Jo Jorgensen,LIB,64,Joe Biden
29660,Colorado,Rio Grande County,Kanye West,IND,20,Joe Biden
29661,Colorado,Rio Grande County,Don Blankenship,CST,15,Joe Biden
29662,Colorado,Rio Grande County,Mark Charles,IND,11,Joe Biden
29663,Colorado,Rio Grande County,Howie Hawkins,GRN,10,Joe Biden
29664,Colorado,Rio Grande County,Phil Collins,PRO,5,Joe Biden
29665,Colorado,Rio Grande County,Gloria La Riva,PSL,4,Joe Biden
29666,Colorado,Rio Grande County,Rocky De La Fuente,ALI,3,Joe Biden
29667,Colorado,Rio Grande County,Kyle Kopitke,IAP,3,Joe Biden
29668,Colorado,Rio Grande County,Joe McHugh,UNA,3,Joe Biden
29669,Colorado,Rio Grande County,Bill Hammons,UTY,2,Joe Biden
29670,Colorado,Rio Grande County,Alyson Kennedy,SWP,2,Joe Biden
29671,Colorado,Rio Grande County,Joseph Kishore,SEP,2,Joe Biden
29672,Colorado,Rio Grande County,Brian Carroll,ASP,1,Joe Biden
29673,Colorado,Rio Grande County,Blake Huber,APV,1,Joe Biden
29674,Colorado,Rio Grande County,Brock Pierce,IND,1,Joe Biden
29675,Colorado,Rio Grande County,Dario Hunter,PRG,0,Joe Biden
29676,Colorado,Rio Grande County,Princess Jacob-Fambro,UNA,0,Joe Biden
29677,Colorado,Rio Grande County,Jordan Scott,UNA,0,Joe Biden
29678,Colorado,Rio Grande County, Write-ins,WRI,0,Joe Biden
29679,Colorado,Routt County,Joe Biden,DEM,10523,Joe Biden
29680,Colorado,Routt County,Donald Trump,REP,5883,Joe Biden
29681,Colorado,Routt County,Jo Jorgensen,LIB,231,Joe Biden
29682,Colorado,Routt County,Howie Hawkins,GRN,36,Joe Biden
29683,Colorado,Routt County,Kanye West,IND,29,Joe Biden
29684,Colorado,Routt County,Don Blankenship,CST,20,Joe Biden
29685,Colorado,Routt County,Bill Hammons,UTY,15,Joe Biden
29686,Colorado,Routt County,Mark Charles,IND,13,Joe Biden
29687,Colorado,Routt County,Brian Carroll,ASP,6,Joe Biden
29688,Colorado,Routt County,Brock Pierce,IND,4,Joe Biden
29689,Colorado,Routt County,Princess Jacob-Fambro,UNA,2,Joe Biden
29690,Colorado,Routt County,Gloria La Riva,PSL,2,Joe Biden
29691,Colorado,Routt County,Alyson Kennedy,SWP,1,Joe Biden
29692,Colorado,Routt County,Kyle Kopitke,IAP,1,Joe Biden
29693,Colorado,Routt County,Jordan Scott,UNA,1,Joe Biden
29694,Colorado,Routt County,Phil Collins,PRO,0,Joe Biden
29695,Colorado,Routt County,Rocky De La Fuente,ALI,0,Joe Biden
29696,Colorado,Routt County,Blake Huber,APV,0,Joe Biden
29697,Colorado,Routt County,Dario Hunter,PRG,0,Joe Biden
29698,Colorado,Routt County,Joseph Kishore,SEP,0,Joe Biden
29699,Colorado,Routt County,Joe McHugh,UNA,0,Joe Biden
29700,Colorado,Routt County, Write-ins,WRI,0,Joe Biden
29701,Colorado,Saguache County,Joe Biden,DEM,1857,Joe Biden
29702,Colorado,Saguache County,Donald Trump,REP,1389,Joe Biden
29703,Colorado,Saguache County,Jo Jorgensen,LIB,38,Joe Biden
29704,Colorado,Saguache County,Kanye West,IND,15,Joe Biden
29705,Colorado,Saguache County,Howie Hawkins,GRN,13,Joe Biden
29706,Colorado,Saguache County,Don Blankenship,CST,8,Joe Biden
29707,Colorado,Saguache County,Mark Charles,IND,6,Joe Biden
29708,Colorado,Saguache County,Brian Carroll,ASP,3,Joe Biden
29709,Colorado,Saguache County,Bill Hammons,UTY,2,Joe Biden
29710,Colorado,Saguache County,Dario Hunter,PRG,2,Joe Biden
29711,Colorado,Saguache County,Princess Jacob-Fambro,UNA,1,Joe Biden
29712,Colorado,Saguache County,Alyson Kennedy,SWP,1,Joe Biden
29713,Colorado,Saguache County,Kyle Kopitke,IAP,1,Joe Biden
29714,Colorado,Saguache County,Gloria La Riva,PSL,1,Joe Biden
29715,Colorado,Saguache County,Phil Collins,PRO,0,Joe Biden
29716,Colorado,Saguache County,Rocky De La Fuente,ALI,0,Joe Biden
29717,Colorado,Saguache County,Blake Huber,APV,0,Joe Biden
29718,Colorado,Saguache County,Joseph Kishore,SEP,0,Joe Biden
29719,Colorado,Saguache County,Joe McHugh,UNA,0,Joe Biden
29720,Colorado,Saguache County,Brock Pierce,IND,0,Joe Biden
29721,Colorado,Saguache County,Jordan Scott,UNA,0,Joe Biden
29722,Colorado,San Juan County,Joe Biden,DEM,342,Joe Biden
29723,Colorado,San Juan County,Donald Trump,REP,202,Joe Biden
29724,Colorado,San Juan County,Jo Jorgensen,LIB,7,Joe Biden
29725,Colorado,San Juan County,Mark Charles,IND,2,Joe Biden
29726,Colorado,San Juan County,Howie Hawkins,GRN,2,Joe Biden
29727,Colorado,San Juan County,Kanye West,IND,2,Joe Biden
29728,Colorado,San Juan County,Don Blankenship,CST,1,Joe Biden
29729,Colorado,San Juan County,Brian Carroll,ASP,1,Joe Biden
29730,Colorado,San Juan County,Bill Hammons,UTY,1,Joe Biden
29731,Colorado,San Juan County,Kyle Kopitke,IAP,1,Joe Biden
29732,Colorado,San Juan County,Gloria La Riva,PSL,1,Joe Biden
29733,Colorado,San Juan County,Joe McHugh,UNA,1,Joe Biden
29734,Colorado,San Juan County,Phil Collins,PRO,0,Joe Biden
29735,Colorado,San Juan County,Rocky De La Fuente,ALI,0,Joe Biden
29736,Colorado,San Juan County,Blake Huber,APV,0,Joe Biden
29737,Colorado,San Juan County,Dario Hunter,PRG,0,Joe Biden
29738,Colorado,San Juan County,Princess Jacob-Fambro,UNA,0,Joe Biden
29739,Colorado,San Juan County,Alyson Kennedy,SWP,0,Joe Biden
29740,Colorado,San Juan County,Joseph Kishore,SEP,0,Joe Biden
29741,Colorado,San Juan County,Brock Pierce,IND,0,Joe Biden
29742,Colorado,San Juan County,Jordan Scott,UNA,0,Joe Biden
29743,Colorado,San Juan County, Write-ins,WRI,0,Joe Biden
29744,Colorado,San Miguel County,Joe Biden,DEM,3890,Joe Biden
29745,Colorado,San Miguel County,Donald Trump,REP,1081,Joe Biden
29746,Colorado,San Miguel County,Jo Jorgensen,LIB,52,Joe Biden
29747,Colorado,San Miguel County,Howie Hawkins,GRN,13,Joe Biden
29748,Colorado,San Miguel County,Kanye West,IND,11,Joe Biden
29749,Colorado,San Miguel County,Don Blankenship,CST,2,Joe Biden
29750,Colorado,San Miguel County,Mark Charles,IND,2,Joe Biden
29751,Colorado,San Miguel County,Bill Hammons,UTY,2,Joe Biden
29752,Colorado,San Miguel County,Phil Collins,PRO,1,Joe Biden
29753,Colorado,San Miguel County,Gloria La Riva,PSL,1,Joe Biden
29754,Colorado,San Miguel County,Joe McHugh,UNA,1,Joe Biden
29755,Colorado,San Miguel County,Brock Pierce,IND,1,Joe Biden
29756,Colorado,San Miguel County,Brian Carroll,ASP,0,Joe Biden
29757,Colorado,San Miguel County,Rocky De La Fuente,ALI,0,Joe Biden
29758,Colorado,San Miguel County,Blake Huber,APV,0,Joe Biden
29759,Colorado,San Miguel County,Dario Hunter,PRG,0,Joe Biden
29760,Colorado,San Miguel County,Princess Jacob-Fambro,UNA,0,Joe Biden
29761,Colorado,San Miguel County,Alyson Kennedy,SWP,0,Joe Biden
29762,Colorado,San Miguel County,Joseph Kishore,SEP,0,Joe Biden
29763,Colorado,San Miguel County,Kyle Kopitke,IAP,0,Joe Biden
29764,Colorado,San Miguel County,Jordan Scott,UNA,0,Joe Biden
29765,Colorado,San Miguel County, Write-ins,WRI,0,Joe Biden
29766,Colorado,Sedgwick County,Donald Trump,REP,1120,Joe Biden
29767,Colorado,Sedgwick County,Joe Biden,DEM,297,Joe Biden
29768,Colorado,Sedgwick County,Jo Jorgensen,LIB,8,Joe Biden
29769,Colorado,Sedgwick County,Don Blankenship,CST,7,Joe Biden
29770,Colorado,Sedgwick County,Mark Charles,IND,2,Joe Biden
29771,Colorado,Sedgwick County,Kanye West,IND,2,Joe Biden
29772,Colorado,Sedgwick County,Bill Hammons,UTY,1,Joe Biden
29773,Colorado,Sedgwick County,Howie Hawkins,GRN,1,Joe Biden
29774,Colorado,Sedgwick County,Dario Hunter,PRG,1,Joe Biden
29775,Colorado,Sedgwick County,Alyson Kennedy,SWP,1,Joe Biden
29776,Colorado,Sedgwick County,Brock Pierce,IND,1,Joe Biden
29777,Colorado,Sedgwick County,Brian Carroll,ASP,0,Joe Biden
29778,Colorado,Sedgwick County,Phil Collins,PRO,0,Joe Biden
29779,Colorado,Sedgwick County,Rocky De La Fuente,ALI,0,Joe Biden
29780,Colorado,Sedgwick County,Blake Huber,APV,0,Joe Biden
29781,Colorado,Sedgwick County,Princess Jacob-Fambro,UNA,0,Joe Biden
29782,Colorado,Sedgwick County,Joseph Kishore,SEP,0,Joe Biden
29783,Colorado,Sedgwick County,Kyle Kopitke,IAP,0,Joe Biden
29784,Colorado,Sedgwick County,Gloria La Riva,PSL,0,Joe Biden
29785,Colorado,Sedgwick County,Joe McHugh,UNA,0,Joe Biden
29786,Colorado,Sedgwick County,Jordan Scott,UNA,0,Joe Biden
29787,Colorado,Summit County,Joe Biden,DEM,12535,Joe Biden
29788,Colorado,Summit County,Donald Trump,REP,5275,Joe Biden
29789,Colorado,Summit County,Jo Jorgensen,LIB,348,Joe Biden
29790,Colorado,Summit County,Howie Hawkins,GRN,59,Joe Biden
29791,Colorado,Summit County,Kanye West,IND,39,Joe Biden
29792,Colorado,Summit County,Don Blankenship,CST,16,Joe Biden
29793,Colorado,Summit County,Bill Hammons,UTY,14,Joe Biden
29794,Colorado,Summit County,Mark Charles,IND,13,Joe Biden
29795,Colorado,Summit County,Brian Carroll,ASP,6,Joe Biden
29796,Colorado,Summit County,Phil Collins,PRO,4,Joe Biden
29797,Colorado,Summit County,Joe McHugh,UNA,4,Joe Biden
29798,Colorado,Summit County,Blake Huber,APV,3,Joe Biden
29799,Colorado,Summit County,Dario Hunter,PRG,3,Joe Biden
29800,Colorado,Summit County,Gloria La Riva,PSL,3,Joe Biden
29801,Colorado,Summit County,Brock Pierce,IND,3,Joe Biden
29802,Colorado,Summit County,Princess Jacob-Fambro,UNA,2,Joe Biden
29803,Colorado,Summit County,Rocky De La Fuente,ALI,1,Joe Biden
29804,Colorado,Summit County,Alyson Kennedy,SWP,1,Joe Biden
29805,Colorado,Summit County,Joseph Kishore,SEP,1,Joe Biden
29806,Colorado,Summit County,Kyle Kopitke,IAP,0,Joe Biden
29807,Colorado,Summit County,Jordan Scott,UNA,0,Joe Biden
29808,Colorado,Baca County,Donald Trump,REP,1840,Joe Biden
29809,Colorado,Baca County,Joe Biden,DEM,313,Joe Biden
29810,Colorado,Baca County,Jo Jorgensen,LIB,26,Joe Biden
29811,Colorado,Baca County,Brian Carroll,ASP,3,Joe Biden
29812,Colorado,Baca County,Howie Hawkins,GRN,3,Joe Biden
29813,Colorado,Baca County,Kanye West,IND,3,Joe Biden
29814,Colorado,Baca County,Don Blankenship,CST,2,Joe Biden
29815,Colorado,Baca County,Blake Huber,APV,2,Joe Biden
29816,Colorado,Baca County,Phil Collins,PRO,1,Joe Biden
29817,Colorado,Baca County,Mark Charles,IND,0,Joe Biden
29818,Colorado,Baca County,Rocky De La Fuente,ALI,0,Joe Biden
29819,Colorado,Baca County,Bill Hammons,UTY,0,Joe Biden
29820,Colorado,Baca County,Dario Hunter,PRG,0,Joe Biden
29821,Colorado,Baca County,Princess Jacob-Fambro,UNA,0,Joe Biden
29822,Colorado,Baca County,Alyson Kennedy,SWP,0,Joe Biden
29823,Colorado,Baca County,Joseph Kishore,SEP,0,Joe Biden
29824,Colorado,Baca County,Kyle Kopitke,IAP,0,Joe Biden
29825,Colorado,Baca County,Gloria La Riva,PSL,0,Joe Biden
29826,Colorado,Baca County,Joe McHugh,UNA,0,Joe Biden
29827,Colorado,Baca County,Brock Pierce,IND,0,Joe Biden
29828,Colorado,Baca County,Jordan Scott,UNA,0,Joe Biden
29829,Colorado,Baca County, Write-ins,WRI,0,Joe Biden
29830,Colorado,Teller County,Donald Trump,REP,11158,Joe Biden
29831,Colorado,Teller County,Joe Biden,DEM,5224,Joe Biden
29832,Colorado,Teller County,Jo Jorgensen,LIB,261,Joe Biden
29833,Colorado,Teller County,Kanye West,IND,35,Joe Biden
29834,Colorado,Teller County,Don Blankenship,CST,28,Joe Biden
29835,Colorado,Teller County,Howie Hawkins,GRN,24,Joe Biden
29836,Colorado,Teller County,Brian Carroll,ASP,18,Joe Biden
29837,Colorado,Teller County,Mark Charles,IND,10,Joe Biden
29838,Colorado,Teller County,Bill Hammons,UTY,10,Joe Biden
29839,Colorado,Teller County,Joe McHugh,UNA,7,Joe Biden
29840,Colorado,Teller County,Kyle Kopitke,IAP,6,Joe Biden
29841,Colorado,Teller County,Alyson Kennedy,SWP,2,Joe Biden
29842,Colorado,Teller County,Joseph Kishore,SEP,2,Joe Biden
29843,Colorado,Teller County,Gloria La Riva,PSL,2,Joe Biden
29844,Colorado,Teller County,Brock Pierce,IND,2,Joe Biden
29845,Colorado,Teller County,Rocky De La Fuente,ALI,1,Joe Biden
29846,Colorado,Teller County,Blake Huber,APV,1,Joe Biden
29847,Colorado,Teller County,Dario Hunter,PRG,1,Joe Biden
29848,Colorado,Teller County,Jordan Scott,UNA,1,Joe Biden
29849,Colorado,Teller County,Phil Collins,PRO,0,Joe Biden
29850,Colorado,Teller County,Princess Jacob-Fambro,UNA,0,Joe Biden
29851,Colorado,Washington County,Donald Trump,REP,2537,Joe Biden
29852,Colorado,Washington County,Joe Biden,DEM,363,Joe Biden
29853,Colorado,Washington County,Jo Jorgensen,LIB,24,Joe Biden
29854,Colorado,Washington County,Howie Hawkins,GRN,5,Joe Biden
29855,Colorado,Washington County,Don Blankenship,CST,4,Joe Biden
29856,Colorado,Washington County,Brian Carroll,ASP,2,Joe Biden
29857,Colorado,Washington County,Mark Charles,IND,2,Joe Biden
29858,Colorado,Washington County,Bill Hammons,UTY,2,Joe Biden
29859,Colorado,Washington County,Kanye West,IND,2,Joe Biden
29860,Colorado,Washington County,Blake Huber,APV,1,Joe Biden
29861,Colorado,Washington County,Kyle Kopitke,IAP,1,Joe Biden
29862,Colorado,Washington County,Phil Collins,PRO,0,Joe Biden
29863,Colorado,Washington County,Rocky De La Fuente,ALI,0,Joe Biden
29864,Colorado,Washington County,Dario Hunter,PRG,0,Joe Biden
29865,Colorado,Washington County,Princess Jacob-Fambro,UNA,0,Joe Biden
29866,Colorado,Washington County,Alyson Kennedy,SWP,0,Joe Biden
29867,Colorado,Washington County,Joseph Kishore,SEP,0,Joe Biden
29868,Colorado,Washington County,Gloria La Riva,PSL,0,Joe Biden
29869,Colorado,Washington County,Joe McHugh,UNA,0,Joe Biden
29870,Colorado,Washington County,Brock Pierce,IND,0,Joe Biden
29871,Colorado,Washington County,Jordan Scott,UNA,0,Joe Biden
29872,Colorado,Weld County,Donald Trump,REP,94965,Joe Biden
29873,Colorado,Weld County,Joe Biden,DEM,65169,Joe Biden
29874,Colorado,Weld County,Jo Jorgensen,LIB,2839,Joe Biden
29875,Colorado,Weld County,Kanye West,IND,436,Joe Biden
29876,Colorado,Weld County,Don Blankenship,CST,355,Joe Biden
29877,Colorado,Weld County,Howie Hawkins,GRN,333,Joe Biden
29878,Colorado,Weld County,Bill Hammons,UTY,161,Joe Biden
29879,Colorado,Weld County,Mark Charles,IND,117,Joe Biden
29880,Colorado,Weld County,Brian Carroll,ASP,113,Joe Biden
29881,Colorado,Weld County,Kyle Kopitke,IAP,51,Joe Biden
29882,Colorado,Weld County,Gloria La Riva,PSL,43,Joe Biden
29883,Colorado,Weld County,Joe McHugh,UNA,43,Joe Biden
29884,Colorado,Weld County,Rocky De La Fuente,ALI,37,Joe Biden
29885,Colorado,Weld County,Brock Pierce,IND,31,Joe Biden
29886,Colorado,Weld County,Phil Collins,PRO,26,Joe Biden
29887,Colorado,Weld County,Blake Huber,APV,17,Joe Biden
