,State,County,Votes_Left,Votes_Right,total_shootings,shootings_normalized
420,Indiana,Henry County,15043,5543,0,0
421,Indiana,Howard County,26400,13270,0,0
422,Indiana,Huntington County,13147,4254,0,0
423,Indiana,Jackson County,14555,4302,0,0
424,Indiana,Jasper County,11383,3798,0,0
425,Indiana,Jay County,6361,1926,0,0
426,Indiana,Jefferson County,9659,4732,0,0
427,Indiana,Jennings County,9488,2521,0,0
428,Indiana,Johnson County,51209,24729,0,0
429,Indiana,Knox County,11654,4067,0,0
430,Indiana,Kosciusko County,26476,8350,0,0
431,Indiana,LaGrange County,8110,2355,0,0
432,Indiana,Lake County,91733,124801,0,0
433,Indiana,LaPorte County,25991,22419,0,0
434,Indiana,Lawrence County,15601,4961,0,0
435,Indiana,Madison County,31153,19459,0,0
436,Indiana,Marion County,133902,247034,0,0
437,Indiana,Marshall County,13841,5712,0,0
438,Indiana,Martin County,4029,1011,0,0
439,Indiana,Miami County,10925,3235,0,0
440,Indiana,Monroe County,22062,39855,0,0
441,Indiana,Montgomery County,12659,4212,0,0
442,Indiana,Morgan County,27510,7777,0,0
443,Indiana,Newton County,4942,1509,0,0
444,Indiana,Noble County,14195,4660,0,0
445,Indiana,Ohio County,2392,750,0,0
446,Indiana,Orange County,6432,2224,0,0
447,Indiana,Owen County,7285,2419,0,0
448,Indiana,Parke County,5398,1503,0,0
449,Indiana,Perry County,5343,3202,0,0
450,Indiana,Pike County,4692,1415,0,0
451,Indiana,Porter County,44899,39537,0,0
452,Indiana,Posey County,9206,3811,0,0
453,Indiana,Pulaski County,4246,1463,0,0
454,Indiana,Putnam County,12278,3946,0,0
455,Indiana,Randolph County,8312,2512,0,0
456,Indiana,Ripley County,11261,2774,0,0
457,Indiana,Rush County,6035,1754,0,0
458,Indiana,St. Joseph County,53152,59870,0,0
459,Indiana,Scott County,7328,2698,0,0
460,Indiana,Shelby County,14568,5023,0,0
461,Indiana,Spencer County,7354,3208,0,0
462,Indiana,Starke County,7466,2650,0,0
463,Indiana,Steuben County,11322,4509,0,0
464,Indiana,Sullivan County,6687,2153,0,0
465,Indiana,Switzerland County,3133,964,0,0
466,Indiana,Tippecanoe County,34571,34993,0,0
467,Indiana,Tipton County,6110,1834,0,0
468,Indiana,Union County,2687,736,0,0
469,Indiana,Vanderburgh County,41838,34404,0,0
470,Indiana,Vermillion County,5184,2145,0,0
471,Indiana,Vigo County,24512,18080,0,0
472,Indiana,Wabash County,10762,3494,0,0
473,Indiana,Warren County,3401,974,0,0
474,Indiana,Warrick County,21324,11919,0,0
475,Indiana,Washington County,9112,2783,0,0
476,Indiana,Wayne County,17567,9524,0,0
477,Indiana,Wells County,10855,2928,0,0
478,Indiana,White County,7353,2868,0,0
479,Indiana,Whitley County,12856,4233,0,0
480,Iowa,Adair County,2917,1197,0,0
481,Iowa,Adams County,1528,590,0,0
482,Iowa,Allamakee County,4733,2575,0,0
483,Iowa,Appanoose County,4508,1889,0,0
484,Iowa,Audubon County,2292,1071,0,0
485,Iowa,Benton County,9179,5156,0,0
486,Iowa,Black Hawk County,29623,35621,0,0
487,Iowa,Boone County,8676,6293,0,0
488,Iowa,Bremer County,8287,5954,0,0
489,Iowa,Buchanan County,6418,4167,0,0
490,Iowa,Buena Vista County,5004,2919,0,0
491,Iowa,Butler County,5540,2423,0,0
492,Iowa,Calhoun County,3687,1469,0,0
493,Iowa,Carroll County,7720,3444,0,0
494,Iowa,Cass County,4969,2201,0,0
495,Iowa,Cedar County,6161,4336,0,0
496,Iowa,Cerro Gordo County,12435,10941,0,0
497,Iowa,Cherokee County,4495,1936,0,0
498,Iowa,Chickasaw County,4299,2230,0,0
499,Iowa,Clarke County,3140,1466,0,0
500,Iowa,Clay County,6126,2653,0,0
501,Iowa,Clayton County,6105,3339,0,0
502,Iowa,Clinton County,13349,10806,0,0
503,Iowa,Crawford County,4842,2211,0,0
504,Iowa,Dallas County,27882,26771,0,0
505,Iowa,Davis County,3032,1013,0,0
506,Iowa,Decatur County,2613,1117,0,0
507,Iowa,Delaware County,6666,3157,0,0
508,Iowa,Des Moines County,10589,8887,0,0
509,Iowa,Dickinson County,7432,3660,0,0
