State,County,Votes_Left,Votes_Right
Kansas,Dickinson County,7045,2040
Kansas,Doniphan County,2949,678
Kansas,Douglas County,16737,39436
Kansas,Edwards County,1127,267
Kansas,Elk County,1130,191
Kansas,Ellis County,9569,3633
Kansas,Ellsworth County,2106,646
Kansas,Finney County,7079,4155
Kansas,Ford County,5763,2926
Kansas,Franklin County,8326,3623
Kansas,Geary County,5193,3825
Kansas,Gove County,1256,163
Kansas,Graham County,1052,222
Kansas,Grant County,1910,497
Kansas,Gray County,1871,337
Kansas,Greeley County,537,76
Kansas,Greenwood County,2404,562
Kansas,Hamilton County,684,134
Kansas,Harper County,2128,453
Kansas,Harvey County,10015,6652
Kansas,Haskell County,1103,261
Kansas,Hodgeman County,866,151
Kansas,Jackson County,4435,1852
Kansas,Jefferson County,6167,3097
Kansas,Jewell County,1369,211
Kansas,Johnson County,151280,177925
Kansas,Kearny County,1134,255
Kansas,Kingman County,3098,742
Kansas,Kiowa County,957,153
Kansas,Labette County,5639,2607
Kansas,Lane County,757,114
Kansas,Leavenworth County,21378,13753
Kansas,Lincoln County,1273,266
Kansas,Linn County,3940,863
Kansas,Logan County,1231,185
Kansas,Lyon County,7381,5878
Kansas,McPherson County,9562,3977
Kansas,Marion County,4377,1463
Kansas,Marshall County,3662,1239
Kansas,Meade County,1508,261
Kansas,Miami County,12116,5133
Kansas,Mitchell County,2454,547
Kansas,Montgomery County,9768,3147
Kansas,Morris County,2085,721
Kansas,Morton County,1004,147
Kansas,Nemaha County,4612,920
Kansas,Neosho County,4795,1727
Kansas,Ness County,1315,147
Kansas,Norton County,1975,360
Kansas,Osage County,5589,2091
Kansas,Osborne County,1590,275
Kansas,Ottawa County,2581,504
Kansas,Pawnee County,2028,635
Kansas,Phillips County,2855,373
Kansas,Pottawatomie County,9247,3257
Kansas,Pratt County,3087,924
Kansas,Rawlins County,1253,214
Kansas,Reno County,17892,8563
Kansas,Republic County,2172,420
Kansas,Rice County,3187,953
Kansas,Riley County,11174,11940
Kansas,Rooks County,2294,332
Kansas,Rush County,1425,291
Kansas,Russell County,2765,591
Kansas,Saline County,15313,8022
Kansas,Scott County,1991,290
Kansas,Sedgwick County,117653,90820
Kansas,Seward County,3285,1736
Kansas,Shawnee County,39890,42032
Kansas,Sheridan County,1237,144
Kansas,Sherman County,2220,385
Kansas,Smith County,1734,328
Kansas,Stafford County,1631,355
Kansas,Stanton County,607,147
Kansas,Stevens County,1731,233
Kansas,Sumner County,7998,2551
Kansas,Thomas County,4686,642
Kansas,Trego County,1341,238
Kansas,Wabaunsee County,2813,956
Kansas,Wallace County,762,44
Kansas,Washington County,2332,467
Kansas,Wichita County,803,147
Kansas,Wilson County,3111,711
Kansas,Woodson County,1189,283
Kansas,Wyandotte County,18512,35566
Kentucky,Adair County,7275,1391
Kentucky,Allen County,12706,3031
Kentucky,Anderson County,9651,3339
Kentucky,Ballard County,3356,825
Kentucky,Barren County,14646,5115
Kentucky,Bath County,3986,1573
Kentucky,Bell County,8140,1789
Kentucky,Boone County,44811,20897
Kentucky,Bourbon County,6190,3296
Kentucky,Boyd County,14295,7083
Kentucky,Boyle County,8872,5298
Kentucky,Bracken County,3397,799
Kentucky,Breathitt County,4265,1301
Kentucky,Breckinridge County,7699,2350
Kentucky,Bullitt County,30338,10126
Kentucky,Butler County,4960,1078
Kentucky,Caldwell County,4905,1432
Kentucky,Calloway County,11351,5794
Kentucky,Campbell County,28482,19373
Kentucky,Carlisle County,2159,463
Kentucky,Carroll County,2954,1116
Kentucky,Carter County,8775,2642
Kentucky,Casey County,6186,960
Kentucky,Christian County,15080,8296
Kentucky,Clark County,17595,8665
Kentucky,Clay County,6003,430
Kentucky,Clinton County,4280,603
Kentucky,Crittenden County,3451,731
Kentucky,Cumberland County,2769,508
Kentucky,Daviess County,31023,17283
Kentucky,Edmonson County,4828,1227
Kentucky,Elliott County,2246,712
Kentucky,Estill County,5100,1355
Kentucky,Fayette County,58845,90566
Kentucky,Fleming County,5534,1474
Kentucky,Floyd County,12211,3855
Kentucky,Franklin County,12900,12650
Kentucky,Fulton County,1605,791
Kentucky,Gallatin County,2955,822
Kentucky,Garrard County,6754,1830
Kentucky,Grant County,8725,2205
Kentucky,Graves County,13206,3559
Kentucky,Grayson County,9453,2400
Kentucky,Green County,4838,920
Kentucky,Greenup County,13064,4873
Kentucky,Hancock County,3145,1351
Kentucky,Hardin County,29832,18101
Kentucky,Harlan County,9367,1494
Kentucky,Harrison County,6334,2400
Kentucky,Hart County,6345,1908
Kentucky,Henderson County,12730,7639
Kentucky,Henry County,5843,2142
Kentucky,Hickman County,1714,458
Kentucky,Hopkins County,15757,5439
Kentucky,Jackson County,5450,605
Kentucky,Jefferson County,150619,228288
Kentucky,Jessamine County,17096,8567
Kentucky,Johnson County,8446,1607
Kentucky,Kenton County,48123,32265
Kentucky,Knott County,4779,1412
Kentucky,Knox County,11010,2111
Kentucky,Larue County,5685,1504
Kentucky,Laurel County,23234,4474
Kentucky,Lawrence County,5633,1238
Kentucky,Lee County,2159,459
Kentucky,Leslie County,4318,446
Kentucky,Letcher County,7226,1799
Kentucky,Lewis County,4986,823
Kentucky,Lincoln County,8489,2254
Kentucky,Livingston County,4010,939
