State,County,Votes_Left,Votes_Right,Total_shootings,Normalized_Shootings_rate,FIPS
Indiana,Carroll County,7086,2224,0,0.000,05015
Indiana,Cass County,10551,4301,1,0.006,17017
Indiana,Clark County,33656,23088,3,0.005,05019
Indiana,Clay County,9498,2549,1,0.008,01027
Indiana,Clinton County,9334,3361,0,0.000,17027
Indiana,Crawford County,3499,1369,1,0.019,05033
Indiana,Daviess County,9576,2169,1,0.008,18027
Indiana,Dearborn County,19441,5433,1,0.004,18029
Indiana,Decatur County,9570,2436,0,0.000,13087
Indiana,DeKalb County,14237,4966,0,0.000,01049
Indiana,Delaware County,26724,20328,6,0.012,18035
Indiana,Dubois County,15032,6292,0,0.000,18037
Indiana,Elkhart County,46311,25413,7,0.009,18039
Indiana,Fayette County,7755,2237,0,0.000,01057
Indiana,Floyd County,23385,17507,1,0.002,13115
Indiana,Fountain County,6151,1627,0,0.000,18045
Indiana,Franklin County,9691,2137,1,0.008,01059
Indiana,Fulton County,6667,2274,0,0.000,05049
Indiana,Gibson County,11817,4027,0,0.000,18051
Indiana,Grant County,18543,8015,1,0.003,05053
Indiana,Greene County,11103,3389,0,0.000,01063
Indiana,Hamilton County,101563,88367,2,0.001,12047
Indiana,Hancock County,28816,12821,1,0.002,13141
Indiana,Harrison County,14542,5334,1,0.005,18061
Indiana,Hendricks County,53688,32453,3,0.003,18063
Indiana,Henry County,15043,5543,4,0.018,01067
Indiana,Howard County,26400,13270,1,0.002,05061
Indiana,Huntington County,13147,4254,1,0.005,18069
Indiana,Jackson County,14555,4302,1,0.005,01071
Indiana,Jasper County,11383,3798,0,0.000,13159
Indiana,Jay County,6361,1926,1,0.011,18075
Indiana,Jefferson County,9659,4732,1,0.006,01073
Indiana,Jennings County,9488,2521,0,0.000,18079
Indiana,Johnson County,51209,24729,3,0.004,05071
Indiana,Knox County,11654,4067,2,0.012,17095
Indiana,Kosciusko County,26476,8350,0,0.000,18085
Indiana,LaGrange County,8110,2355,0,0.000,18087
Indiana,Lake County,91733,124801,12,0.005,06033
Indiana,LaPorte County,25991,22419,0,0.000,0
Indiana,Lawrence County,15601,4961,1,0.004,01079
Indiana,Madison County,31153,19459,0,0.000,01089
Indiana,Marion County,133902,247034,34,0.008,01093
Indiana,Marshall County,13841,5712,0,0.000,01095
Indiana,Martin County,4029,1011,0,0.000,12085
Indiana,Miami County,10925,3235,0,0.000,18103
Indiana,Monroe County,22062,39855,1,0.001,01099
Indiana,Montgomery County,12659,4212,1,0.005,01101
Indiana,Morgan County,27510,7777,1,0.003,01103
Indiana,Newton County,4942,1509,0,0.000,05101
Indiana,Noble County,14195,4660,0,0.000,18113
Indiana,Ohio County,2392,750,0,0.000,18115
Indiana,Orange County,6432,2224,1,0.011,06059
Indiana,Owen County,7285,2419,1,0.009,18119
Indiana,Parke County,5398,1503,0,0.000,18121
Indiana,Perry County,5343,3202,0,0.000,01105
Indiana,Pike County,4692,1415,1,0.015,01109
Indiana,Porter County,44899,39537,3,0.003,18127
Indiana,Posey County,9206,3811,0,0.000,18129
Indiana,Pulaski County,4246,1463,1,0.016,05119
Indiana,Putnam County,12278,3946,0,0.000,12107
Indiana,Randolph County,8312,2512,1,0.008,01111
Indiana,Ripley County,11261,2774,1,0.006,18137
Indiana,Rush County,6035,1754,0,0.000,18139
Indiana,St. Joseph County,53152,59870,4,0.003,18141
Indiana,Scott County,7328,2698,0,0.000,05127
Indiana,Shelby County,14568,5023,2,0.009,01117
Indiana,Spencer County,7354,3208,1,0.009,18147
Indiana,Starke County,7466,2650,1,0.009,18149
Indiana,Steuben County,11322,4509,0,0.000,18151
Indiana,Sullivan County,6687,2153,1,0.010,18153
Indiana,Switzerland County,3133,964,0,0.000,18155
Indiana,Tippecanoe County,34571,34993,2,0.003,18157
Indiana,Tipton County,6110,1834,0,0.000,18159
Indiana,Union County,2687,736,0,0.000,05139
Indiana,Vanderburgh County,41838,34404,6,0.007,18163
Indiana,Vermillion County,5184,2145,0,0.000,18165
Indiana,Vigo County,24512,18080,5,0.011,18167
Indiana,Wabash County,10762,3494,2,0.013,17185
Indiana,Warren County,3401,974,0,0.000,13301
Indiana,Warrick County,21324,11919,1,0.003,18173
Indiana,Washington County,9112,2783,1,0.008,01129
Indiana,Wayne County,17567,9524,0,0.000,13305
Indiana,Wells County,10855,2928,0,0.000,18179
Indiana,White County,7353,2868,1,0.009,05145
Indiana,Whitley County,12856,4233,0,0.000,18183
Iowa,Adair County,2917,1197,0,0.000,19001
Iowa,Adams County,1528,590,0,0.000,08001
Iowa,Allamakee County,4733,2575,0,0.000,19005
Iowa,Appanoose County,4508,1889,0,0.000,19007
Iowa,Audubon County,2292,1071,0,0.000,19009
Iowa,Benton County,9179,5156,0,0.000,05007
Iowa,Black Hawk County,29623,35621,0,0.000,19013
Iowa,Boone County,8676,6293,2,0.012,05009
Iowa,Bremer County,8287,5954,0,0.000,19017
Iowa,Buchanan County,6418,4167,0,0.000,19019
Iowa,Buena Vista County,5004,2919,0,0.000,19021
Iowa,Butler County,5540,2423,0,0.000,01013
Iowa,Calhoun County,3687,1469,0,0.000,01015
Iowa,Carroll County,7720,3444,0,0.000,05015
Iowa,Cass County,4969,2201,0,0.000,17017
Iowa,Cedar County,6161,4336,0,0.000,19031
Iowa,Cerro Gordo County,12435,10941,0,0.000,19033
Iowa,Cherokee County,4495,1936,0,0.000,01019
Iowa,Chickasaw County,4299,2230,1,0.014,19037
Iowa,Clarke County,3140,1466,0,0.000,01025
Iowa,Clay County,6126,2653,0,0.000,01027
Iowa,Clayton County,6105,3339,0,0.000,13063
Iowa,Clinton County,13349,10806,1,0.004,17027
Iowa,Crawford County,4842,2211,0,0.000,05033
Iowa,Dallas County,27882,26771,1,0.002,01047
Iowa,Davis County,3032,1013,0,0.000,19051
Iowa,Decatur County,2613,1117,0,0.000,13087
Iowa,Delaware County,6666,3157,0,0.000,18035
Iowa,Des Moines County,10589,8887,3,0.014,19057
Iowa,Dickinson County,7432,3660,0,0.000,19059
Iowa,Dubuque County,27214,25655,0,0.000,19061
Iowa,Emmet County,3265,1520,0,0.000,19063
Iowa,Fayette County,6145,3834,0,0.000,01057
Iowa,Floyd County,4730,3168,1,0.012,13115
Iowa,Franklin County,3420,1625,0,0.000,01059
Iowa,Fremont County,2711,1078,0,0.000,08043
Iowa,Greene County,3221,1768,0,0.000,01063
Iowa,Grundy County,4911,2194,0,0.000,17063
Iowa,Guthrie County,4272,1985,1,0.015,19077
Iowa,Hamilton County,4956,2842,1,0.012,12047
Iowa,Hancock County,4386,1682,0,0.000,13141
Iowa,Hardin County,5842,2971,1,0.010,17069
Iowa,Harrison County,5563,2439,0,0.000,18061
Iowa,Henry County,6483,3264,0,0.000,01067
Iowa,Howard County,3126,1772,0,0.000,05061
Iowa,Humboldt County,3818,1442,1,0.017,06023
Iowa,Ida County,2876,917,0,0.000,19093
Iowa,Iowa County,6009,3546,1,0.010,19095
Iowa,Jackson County,6940,4029,0,0.000,01071
Iowa,Jasper County,12480,7813,1,0.004,13159
Iowa,Jefferson County,4442,4314,0,0.000,01073
Iowa,Johnson County,22918,59147,2,0.002,05071
Iowa,Jones County,6569,4211,0,0.000,13169
Iowa,Keokuk County,3785,1409,0,0.000,19107
Iowa,Kossuth County,6244,2681,0,0.000,19109
Iowa,Lee County,9763,6539,3,0.017,01081
